win,lose,probability
Golden State Warriors,San Antonio Spurs,0.7316156358366032
Philadelphia 76ers,Miami Heat,0.7587380965615168
Portland Trail Blazers,New Orleans Pelicans,0.5043318856052719
Toronto Raptors,Washington Wizards,0.7973671821652066
Boston Celtics,Milwaukee Bucks,0.6716906557054643
Cleveland Cavaliers,Indiana Pacers,0.5620707453149424
Houston Rockets,Minnesota Timberwolves,0.8145295952961752
Utah Jazz,Oklahoma City Thunder,0.519484421805593
Golden State Warriors,San Antonio Spurs,0.7316156358366032
Philadelphia 76ers,Miami Heat,0.7587380965615168
Boston Celtics,Milwaukee Bucks,0.6716906557054643
Portland Trail Blazers,New Orleans Pelicans,0.5043318856052719
Toronto Raptors,Washington Wizards,0.7973671821652066
Cleveland Cavaliers,Indiana Pacers,0.5620707453149424
Houston Rockets,Minnesota Timberwolves,0.8145295952961752
Utah Jazz,Oklahoma City Thunder,0.519484421805593
Philadelphia 76ers,Miami Heat,0.6310723602159698
New Orleans Pelicans,Portland Trail Blazers,0.6010876076959508
Golden State Warriors,San Antonio Spurs,0.5805580957127159
Indiana Pacers,Cleveland Cavaliers,0.5457286955863577
Boston Celtics,Milwaukee Bucks,0.5754725890853329
Toronto Raptors,Washington Wizards,0.6767211294100209
Philadelphia 76ers,Miami Heat,0.6310723602159698
Houston Rockets,Minnesota Timberwolves,0.7347923142238997
New Orleans Pelicans,Portland Trail Blazers,0.6010876076959508
Utah Jazz,Oklahoma City Thunder,0.602753278535811
Indiana Pacers,Cleveland Cavaliers,0.5457286955863577
Boston Celtics,Milwaukee Bucks,0.5754725890853329
Golden State Warriors,San Antonio Spurs,0.5805580957127159
Toronto Raptors,Washington Wizards,0.6767211294100209
Houston Rockets,Minnesota Timberwolves,0.7347923142238997
Utah Jazz,Oklahoma City Thunder,0.602753278535811
Boston Celtics,Milwaukee Bucks,0.6716906557054643
Golden State Warriors,San Antonio Spurs,0.7316156358366032
Philadelphia 76ers,Miami Heat,0.7587380965615168
Cleveland Cavaliers,Indiana Pacers,0.5620707453149424
Houston Rockets,Minnesota Timberwolves,0.8145295952961752
Utah Jazz,Oklahoma City Thunder,0.519484421805593
Toronto Raptors,Washington Wizards,0.7973671821652066
Boston Celtics,Milwaukee Bucks,0.5754725890853329
Indiana Pacers,Cleveland Cavaliers,0.5457286955863577
Utah Jazz,Oklahoma City Thunder,0.602753278535811
Toronto Raptors,Washington Wizards,0.6767211294100209
Boston Celtics,Milwaukee Bucks,0.6716906557054643
Golden State Warriors,New Orleans Pelicans,0.6442030219073871
Cleveland Cavaliers,Indiana Pacers,0.5620707453149424
Houston Rockets,Utah Jazz,0.740650186816036
Boston Celtics,Philadelphia 76ers,0.5225238270772232
Golden State Warriors,New Orleans Pelicans,0.6442030219073871
Houston Rockets,Utah Jazz,0.740650186816036
